School,State,Coach
Tufts University,MA,Shane Powell
Tulane University,LA,Kristen Swope
U.S. Air Force Academy,CO,Allyson Hartenburg
UNC-Chapel Hill,NC,Courtney Clayton
Union College,NY,peggy aedjian
United States Military Academy,NY,Peter and Sherry Cashman
University at Buffalo,NY,Beth Walkowicz
University of Alabama,AL,Ashley Morrison
University of Arizona,AZ,Sheryl Gonnsen
University of British Columbia,BC,Katrina Per
University of California San Diego,CA,Mark Conley
"University of California, Berkeley",CA,Diane Yeager
"University of California, Davis",CA,Ryan Oropeza
"University of California, Los Angeles",CA,Carolin Malmkvist
"University of California, Santa Cruz",CA,Cassie Belmont
University of California: Santa Barbara,CA,Alanna Snowden
University of Central Florida,FL,Lesli Isaacson
University of Cincinnati,OH,Missy Jo Hollingsworth
University of Colorado - Colorado Springs,CO,Tracey Powers
"University of Colorado, Boulder",CO,Jill Pelzel
University of Connecticut,CT,Alena Meacham
University of Delaware,DE,Whitney Carmouche
University of Findlay,OH,Cindy Morehead
University of Florida,FL,Kim Burnette
University of Georgia,GA,Katie Poteet
University of Guelph,ON,Amy Noonan
University Of Illinois at Urbana-Champaign,IL,Teresa (Terri) Foreman
University of Kansas,KS,Elizabeth Gravatt
University of Kentucky,KY,Diana Conlon
University of Louisville,KY,Sarah Younger
University of Maine,ME,Gail McCormack
University of Mary Washington,VA,Teresa Seay
University of Maryland,MD,Astrid Dalley
"University of Maryland, Baltimore County",MD,Sherri Trenary
University of Massachusetts at Amherst,MA,Jillianne Smith
University of Massachusetts Dartmouth,MA,Mary Charette
University of Miami,FL,Karen Flynn
University of Michigan,MI,Jennifer Blades
"University of Minnesota, Crookston",MN,Kayla Krueger
University of Minnesota-Twin Cities,MN,Jamie Moeller
University of Mississippi (Ole Miss),MS,Gene (Beanie) Cone
University of Montana,MT,Stephanie Kappes
University of Montana Western,MT,Emelia Jones
University of Nebraska-Lincoln,NE,Lori Jaixen
University of New England,ME,Jackie Blackwell
University of New Hampshire,NH,Christina Keim
University of North Alabama,AL,Amy Smith
University of North Carolina at Asheville,NC,Briana Ambrosic
University of North Carolina at Charlotte,NC,Chelsea Dressler
University of North Carolina Wilmington,NC,Lauryn Wiser
University of North Carolina-Greensboro,NC,Allison Townley
University of North Florida,FL,Julie Steinmetz-Usoff
University of North Georgia,GA,Amanda Garner
University of North Texas,TX,Courtney Burggren
University of Notre Dame / Saint Mary's College,IN,Kerry Hilgendorf
University of Oregon,OR,Courtney Horan
University of Ottawa,ON,Mark Struthers
University of Pennsylvania,PA,Dawne Morrone
University of Pittsburgh,PA,James Boyce
University of Rhode Island,RI,Wendy Brayman
University of Richmond,VA,Jessica Boppe
University of Rochester,NY,Peggy Gauger
University of San Diego,CA,Alison Mundo
University of Scranton,PA,Tara Lane Waitkus
University of South Carolina,SC,Angela MacFawn
University of South Carolina Aiken,SC,John Abbott
University of South Florida,FL,Lauren Barth
University of Southern California,CA,Kathryn Griffiths
University of Tampa,FL,Sherri O'Connor
University of Tennessee - Knoxville,TN,Lacey Johnston
University of Texas at Austin,TX,Sydney Kornman
University of Vermont,VT,Madeleine Austin
University of Virginia,VA,Claiborne Bishop
University of Washington,WA,Aidan Beaton
University of West Florida,FL,Sierra Smallwood
University of Western Ontario,ON,Hilary Rock
University of Wisconsin - Eau Claire,WI,Tammy Olson
University of Wisconsin-La Crosse,WI,Christy Lowell
University of Wisconsin-Madison,WI,Mark Aplin
University of Wisconsin-Milwaukee,WI,Lisa Behling
University of Wisconsin-Platteville,WI,Mathea Durica
University of Wisconsin-River Falls,WI,Peter RAYNE
University of Wyoming,WY,Jessica Ford
Utah State University,UT,Jason Romney
Valley Forge Military College,PA,Sara McCoy Palmer
Vanderbilt University,TN,Janelle Harcus
Vassar College,NY,Michelle Clopp
Villanova University,PA,Sara McCoy
Virginia Commonwealth University,VA,Sulu Rose Reed
Virginia Tech,VA,Sherri West
Wake Forest University,NC,Michelle Hargreaves
Washington & Jefferson College,PA,Olivia DeCesar
Washington and Lee University,VA,Gordon Reistrup
Washington College,MD,Chris Bigelow
Washington State University,WA,Katharina Whetzel
Washington University in St. Louis,MO,Patti Boland
Wellesley College,MA,Alli Mitchell
Wesleyan College,GA,Jessica Denniston
Wesleyan University,CT,Armand Chenelle
West Chester University,PA,Wendy Myers
West Texas A&M; University,TX,Amanda Love
West Virginia University,WV,Bobby Dean
Western Carolina University,NC,Angela Fowler
Western Illinois University,IL,kayla weikert
Western Kentucky University,KY,CHARLES ANDERSON
Western Michigan University,MI,Rob Stewart
Western Washington University,WA,Ashley Greyell
Westfield State University,MA,Frances Cross
Westminster College,PA,Janet Rowan
Wheaton College,MA,Carly Fisher
Whittier College,CA,Patty Foltz Mccarty
William Paterson University,NJ,Hayley Rooney
Williams College,MA,Lisa DeMayo
Wilmington College,OH,Jennifer Riddle
Wilson College,PA,Megan Mendenhall
Wofford College,SC,Jeanne Smith
Worcester State University,MA,Tamara Johnston
Xavier University,OH,Maria Kneipp
Yale University,CT,Jennifer Thompson
Youngstown State University,OH,Amy Watkins
